id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/aachen/aachen_000002_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000002_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/aachen/aachen_000130_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000130_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/aachen/aachen_000071_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000071_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/aachen/aachen_000173_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000173_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/aachen/aachen_000052_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000052_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/aachen/aachen_000158_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000158_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/aachen/aachen_000149_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000149_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/aachen/aachen_000171_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000171_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/aachen/aachen_000017_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000017_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/aachen/aachen_000095_000019_leftImg8bit.png	train/segmentation/aachen/aachen_000095_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
