id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/bochum/bochum_000000_021393_leftImg8bit.png	train/segmentation/bochum/bochum_000000_021393_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/bochum/bochum_000000_027951_leftImg8bit.png	train/segmentation/bochum/bochum_000000_027951_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/bochum/bochum_000000_033331_leftImg8bit.png	train/segmentation/bochum/bochum_000000_033331_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/bochum/bochum_000000_015645_leftImg8bit.png	train/segmentation/bochum/bochum_000000_015645_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/bochum/bochum_000000_003005_leftImg8bit.png	train/segmentation/bochum/bochum_000000_003005_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/bochum/bochum_000000_000600_leftImg8bit.png	train/segmentation/bochum/bochum_000000_000600_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/bochum/bochum_000000_013705_leftImg8bit.png	train/segmentation/bochum/bochum_000000_013705_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/bochum/bochum_000000_018195_leftImg8bit.png	train/segmentation/bochum/bochum_000000_018195_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/bochum/bochum_000000_024717_leftImg8bit.png	train/segmentation/bochum/bochum_000000_024717_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/bochum/bochum_000000_007150_leftImg8bit.png	train/segmentation/bochum/bochum_000000_007150_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/bochum/bochum_000000_031922_leftImg8bit.png	train/segmentation/bochum/bochum_000000_031922_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
