id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/bremen/bremen_000041_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000041_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/bremen/bremen_000248_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000248_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/bremen/bremen_000050_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000050_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/bremen/bremen_000033_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000033_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/bremen/bremen_000037_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000037_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/bremen/bremen_000109_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000109_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/bremen/bremen_000160_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000160_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/bremen/bremen_000238_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000238_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/bremen/bremen_000314_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000314_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/bremen/bremen_000309_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000309_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/bremen/bremen_000189_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000189_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/bremen/bremen_000233_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000233_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/bremen/bremen_000149_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000149_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/bremen/bremen_000003_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000003_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/bremen/bremen_000032_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000032_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/bremen/bremen_000117_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000117_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/bremen/bremen_000230_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000230_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/bremen/bremen_000092_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000092_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/bremen/bremen_000072_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000072_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/bremen/bremen_000196_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000196_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/bremen/bremen_000023_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000023_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/bremen/bremen_000312_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000312_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/bremen/bremen_000090_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000090_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/bremen/bremen_000185_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000185_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/bremen/bremen_000122_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000122_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/bremen/bremen_000009_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000009_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/bremen/bremen_000280_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000280_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/bremen/bremen_000131_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000131_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/bremen/bremen_000108_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000108_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/bremen/bremen_000247_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000247_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	train/images/bremen/bremen_000262_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000262_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
31	train/images/bremen/bremen_000244_000019_leftImg8bit.png	train/segmentation/bremen/bremen_000244_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
