id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/cologne/cologne_000017_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000017_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/cologne/cologne_000146_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000146_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/cologne/cologne_000003_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000003_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/cologne/cologne_000000_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000000_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/cologne/cologne_000053_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000053_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/cologne/cologne_000094_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000094_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/cologne/cologne_000028_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000028_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/cologne/cologne_000093_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000093_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/cologne/cologne_000064_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000064_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/cologne/cologne_000008_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000008_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/cologne/cologne_000140_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000140_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/cologne/cologne_000026_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000026_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/cologne/cologne_000127_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000127_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/cologne/cologne_000102_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000102_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/cologne/cologne_000085_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000085_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/cologne/cologne_000080_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000080_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/cologne/cologne_000045_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000045_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/cologne/cologne_000152_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000152_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/cologne/cologne_000096_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000096_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/cologne/cologne_000099_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000099_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/cologne/cologne_000005_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000005_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/cologne/cologne_000078_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000078_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/cologne/cologne_000056_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000056_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/cologne/cologne_000030_000019_leftImg8bit.png	train/segmentation/cologne/cologne_000030_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
