id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/darmstadt/darmstadt_000045_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000045_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/darmstadt/darmstadt_000044_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000044_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/darmstadt/darmstadt_000009_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000009_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/darmstadt/darmstadt_000007_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000007_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/darmstadt/darmstadt_000015_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000015_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/darmstadt/darmstadt_000079_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000079_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/darmstadt/darmstadt_000023_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000023_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/darmstadt/darmstadt_000084_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000084_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/darmstadt/darmstadt_000035_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000035_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/darmstadt/darmstadt_000010_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000010_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/darmstadt/darmstadt_000003_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000003_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/darmstadt/darmstadt_000011_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000011_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/darmstadt/darmstadt_000077_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000077_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/darmstadt/darmstadt_000018_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000018_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/darmstadt/darmstadt_000053_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000053_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/darmstadt/darmstadt_000008_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000008_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/darmstadt/darmstadt_000058_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000058_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/darmstadt/darmstadt_000080_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000080_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/darmstadt/darmstadt_000006_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000006_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/darmstadt/darmstadt_000070_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000070_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/darmstadt/darmstadt_000054_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000054_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/darmstadt/darmstadt_000068_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000068_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/darmstadt/darmstadt_000055_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000055_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/darmstadt/darmstadt_000017_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000017_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/darmstadt/darmstadt_000013_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000013_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/darmstadt/darmstadt_000030_000019_leftImg8bit.png	train/segmentation/darmstadt/darmstadt_000030_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
