id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/dusseldorf/dusseldorf_000182_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000182_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/dusseldorf/dusseldorf_000089_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000089_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/dusseldorf/dusseldorf_000097_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000097_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/dusseldorf/dusseldorf_000101_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000101_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/dusseldorf/dusseldorf_000029_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000029_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/dusseldorf/dusseldorf_000091_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000091_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/dusseldorf/dusseldorf_000191_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000191_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/dusseldorf/dusseldorf_000180_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000180_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/dusseldorf/dusseldorf_000100_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000100_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/dusseldorf/dusseldorf_000087_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000087_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/dusseldorf/dusseldorf_000170_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000170_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/dusseldorf/dusseldorf_000005_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000005_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/dusseldorf/dusseldorf_000103_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000103_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/dusseldorf/dusseldorf_000008_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000008_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/dusseldorf/dusseldorf_000049_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000049_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/dusseldorf/dusseldorf_000134_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000134_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/dusseldorf/dusseldorf_000131_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000131_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/dusseldorf/dusseldorf_000037_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000037_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/dusseldorf/dusseldorf_000154_000019_leftImg8bit.png	train/segmentation/dusseldorf/dusseldorf_000154_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
