id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/erfurt/erfurt_000028_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000028_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/erfurt/erfurt_000021_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000021_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/erfurt/erfurt_000077_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000077_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/erfurt/erfurt_000027_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000027_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/erfurt/erfurt_000025_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000025_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/erfurt/erfurt_000052_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000052_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/erfurt/erfurt_000030_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000030_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/erfurt/erfurt_000008_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000008_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/erfurt/erfurt_000075_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000075_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/erfurt/erfurt_000042_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000042_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/erfurt/erfurt_000055_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000055_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/erfurt/erfurt_000078_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000078_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/erfurt/erfurt_000015_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000015_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/erfurt/erfurt_000095_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000095_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/erfurt/erfurt_000061_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000061_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/erfurt/erfurt_000101_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000101_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/erfurt/erfurt_000097_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000097_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/erfurt/erfurt_000070_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000070_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/erfurt/erfurt_000002_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000002_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/erfurt/erfurt_000006_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000006_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/erfurt/erfurt_000080_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000080_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/erfurt/erfurt_000089_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000089_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/erfurt/erfurt_000067_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000067_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/erfurt/erfurt_000085_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000085_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/erfurt/erfurt_000100_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000100_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/erfurt/erfurt_000084_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000084_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/erfurt/erfurt_000039_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000039_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/erfurt/erfurt_000033_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000033_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/erfurt/erfurt_000009_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000009_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/erfurt/erfurt_000094_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000094_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	train/images/erfurt/erfurt_000058_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000058_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
31	train/images/erfurt/erfurt_000044_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000044_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
32	train/images/erfurt/erfurt_000059_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000059_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
33	train/images/erfurt/erfurt_000091_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000091_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
34	train/images/erfurt/erfurt_000048_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000048_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
35	train/images/erfurt/erfurt_000082_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000082_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
36	train/images/erfurt/erfurt_000079_000019_leftImg8bit.png	train/segmentation/erfurt/erfurt_000079_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
