id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	val/images/frankfurt/frankfurt_000001_055172_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_055172_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	val/images/frankfurt/frankfurt_000001_008200_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_008200_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	val/images/frankfurt/frankfurt_000001_043395_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_043395_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	val/images/frankfurt/frankfurt_000001_016462_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_016462_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	val/images/frankfurt/frankfurt_000000_013382_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_013382_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	val/images/frankfurt/frankfurt_000001_053102_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_053102_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	val/images/frankfurt/frankfurt_000000_001236_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_001236_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	val/images/frankfurt/frankfurt_000001_048654_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_048654_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	val/images/frankfurt/frankfurt_000001_042098_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_042098_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	val/images/frankfurt/frankfurt_000001_028590_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_028590_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	val/images/frankfurt/frankfurt_000001_014565_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_014565_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	val/images/frankfurt/frankfurt_000000_009688_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_009688_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	val/images/frankfurt/frankfurt_000001_055538_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_055538_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	val/images/frankfurt/frankfurt_000001_002759_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_002759_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	val/images/frankfurt/frankfurt_000000_006589_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_006589_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	val/images/frankfurt/frankfurt_000000_013240_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_013240_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	val/images/frankfurt/frankfurt_000001_029600_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_029600_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	val/images/frankfurt/frankfurt_000000_002963_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_002963_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	val/images/frankfurt/frankfurt_000001_049698_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_049698_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	val/images/frankfurt/frankfurt_000000_007365_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_007365_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	val/images/frankfurt/frankfurt_000000_020880_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_020880_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	val/images/frankfurt/frankfurt_000001_048355_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_048355_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	val/images/frankfurt/frankfurt_000001_066092_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_066092_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	val/images/frankfurt/frankfurt_000001_028335_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_028335_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	val/images/frankfurt/frankfurt_000001_067295_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_067295_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	val/images/frankfurt/frankfurt_000001_064651_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_064651_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	val/images/frankfurt/frankfurt_000001_071781_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_071781_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	val/images/frankfurt/frankfurt_000001_062250_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_062250_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	val/images/frankfurt/frankfurt_000001_062396_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_062396_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	val/images/frankfurt/frankfurt_000001_062653_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_062653_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	val/images/frankfurt/frankfurt_000001_066574_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_066574_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
31	val/images/frankfurt/frankfurt_000001_038418_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_038418_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
32	val/images/frankfurt/frankfurt_000000_020215_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_020215_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
33	val/images/frankfurt/frankfurt_000001_080091_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_080091_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
34	val/images/frankfurt/frankfurt_000001_051737_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_051737_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
35	val/images/frankfurt/frankfurt_000001_068063_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_068063_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
36	val/images/frankfurt/frankfurt_000001_003588_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_003588_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
37	val/images/frankfurt/frankfurt_000001_076502_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_076502_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
38	val/images/frankfurt/frankfurt_000001_014741_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_014741_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
39	val/images/frankfurt/frankfurt_000001_073088_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_073088_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
40	val/images/frankfurt/frankfurt_000001_065617_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_065617_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
41	val/images/frankfurt/frankfurt_000001_055387_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_055387_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
42	val/images/frankfurt/frankfurt_000001_059789_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_059789_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
43	val/images/frankfurt/frankfurt_000000_000576_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000000_000576_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
44	val/images/frankfurt/frankfurt_000001_040732_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_040732_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
45	val/images/frankfurt/frankfurt_000001_060906_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_060906_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
46	val/images/frankfurt/frankfurt_000001_012519_leftImg8bit.png	val/segmentation/frankfurt/frankfurt_000001_012519_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
