id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/hamburg/hamburg_000000_048138_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_048138_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/hamburg/hamburg_000000_103367_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_103367_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/hamburg/hamburg_000000_042505_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_042505_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/hamburg/hamburg_000000_029378_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_029378_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/hamburg/hamburg_000000_055039_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_055039_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/hamburg/hamburg_000000_103186_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_103186_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/hamburg/hamburg_000000_050160_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_050160_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/hamburg/hamburg_000000_013577_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_013577_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/hamburg/hamburg_000000_059339_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_059339_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/hamburg/hamburg_000000_105296_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_105296_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/hamburg/hamburg_000000_100300_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_100300_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/hamburg/hamburg_000000_039420_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_039420_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/hamburg/hamburg_000000_091155_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_091155_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/hamburg/hamburg_000000_098061_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_098061_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/hamburg/hamburg_000000_067799_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_067799_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/hamburg/hamburg_000000_058591_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_058591_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/hamburg/hamburg_000000_046566_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_046566_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/hamburg/hamburg_000000_084746_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_084746_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/hamburg/hamburg_000000_085645_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_085645_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/hamburg/hamburg_000000_019892_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_019892_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/hamburg/hamburg_000000_002095_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_002095_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/hamburg/hamburg_000000_032906_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_032906_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/hamburg/hamburg_000000_045704_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_045704_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/hamburg/hamburg_000000_099902_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_099902_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/hamburg/hamburg_000000_041667_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_041667_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/hamburg/hamburg_000000_047220_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_047220_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/hamburg/hamburg_000000_062964_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_062964_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/hamburg/hamburg_000000_079376_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_079376_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/hamburg/hamburg_000000_016447_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_016447_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/hamburg/hamburg_000000_091038_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_091038_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	train/images/hamburg/hamburg_000000_011641_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_011641_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
31	train/images/hamburg/hamburg_000000_061048_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_061048_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
32	train/images/hamburg/hamburg_000000_098400_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_098400_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
33	train/images/hamburg/hamburg_000000_043944_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_043944_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
34	train/images/hamburg/hamburg_000000_027857_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_027857_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
35	train/images/hamburg/hamburg_000000_056508_leftImg8bit.png	train/segmentation/hamburg/hamburg_000000_056508_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
