id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/hanover/hanover_000000_013205_leftImg8bit.png	train/segmentation/hanover/hanover_000000_013205_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/hanover/hanover_000000_006922_leftImg8bit.png	train/segmentation/hanover/hanover_000000_006922_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/hanover/hanover_000000_001173_leftImg8bit.png	train/segmentation/hanover/hanover_000000_001173_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/hanover/hanover_000000_035768_leftImg8bit.png	train/segmentation/hanover/hanover_000000_035768_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/hanover/hanover_000000_034141_leftImg8bit.png	train/segmentation/hanover/hanover_000000_034141_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/hanover/hanover_000000_000381_leftImg8bit.png	train/segmentation/hanover/hanover_000000_000381_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/hanover/hanover_000000_003853_leftImg8bit.png	train/segmentation/hanover/hanover_000000_003853_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/hanover/hanover_000000_027998_leftImg8bit.png	train/segmentation/hanover/hanover_000000_027998_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/hanover/hanover_000000_056457_leftImg8bit.png	train/segmentation/hanover/hanover_000000_056457_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/hanover/hanover_000000_042992_leftImg8bit.png	train/segmentation/hanover/hanover_000000_042992_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/hanover/hanover_000000_009420_leftImg8bit.png	train/segmentation/hanover/hanover_000000_009420_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/hanover/hanover_000000_041232_leftImg8bit.png	train/segmentation/hanover/hanover_000000_041232_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/hanover/hanover_000000_000164_leftImg8bit.png	train/segmentation/hanover/hanover_000000_000164_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/hanover/hanover_000000_016038_leftImg8bit.png	train/segmentation/hanover/hanover_000000_016038_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/hanover/hanover_000000_053604_leftImg8bit.png	train/segmentation/hanover/hanover_000000_053604_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/hanover/hanover_000000_044085_leftImg8bit.png	train/segmentation/hanover/hanover_000000_044085_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/hanover/hanover_000000_030889_leftImg8bit.png	train/segmentation/hanover/hanover_000000_030889_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/hanover/hanover_000000_026356_leftImg8bit.png	train/segmentation/hanover/hanover_000000_026356_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/hanover/hanover_000000_005970_leftImg8bit.png	train/segmentation/hanover/hanover_000000_005970_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/hanover/hanover_000000_040793_leftImg8bit.png	train/segmentation/hanover/hanover_000000_040793_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/hanover/hanover_000000_007342_leftImg8bit.png	train/segmentation/hanover/hanover_000000_007342_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/hanover/hanover_000000_027390_leftImg8bit.png	train/segmentation/hanover/hanover_000000_027390_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/hanover/hanover_000000_002140_leftImg8bit.png	train/segmentation/hanover/hanover_000000_002140_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/hanover/hanover_000000_029404_leftImg8bit.png	train/segmentation/hanover/hanover_000000_029404_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/hanover/hanover_000000_018800_leftImg8bit.png	train/segmentation/hanover/hanover_000000_018800_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/hanover/hanover_000000_000712_leftImg8bit.png	train/segmentation/hanover/hanover_000000_000712_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/hanover/hanover_000000_011971_leftImg8bit.png	train/segmentation/hanover/hanover_000000_011971_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/hanover/hanover_000000_014319_leftImg8bit.png	train/segmentation/hanover/hanover_000000_014319_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/hanover/hanover_000000_027650_leftImg8bit.png	train/segmentation/hanover/hanover_000000_027650_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/hanover/hanover_000000_049269_leftImg8bit.png	train/segmentation/hanover/hanover_000000_049269_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	train/images/hanover/hanover_000000_005599_leftImg8bit.png	train/segmentation/hanover/hanover_000000_005599_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
