id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/jena/jena_000004_000019_leftImg8bit.png	train/segmentation/jena/jena_000004_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/jena/jena_000061_000019_leftImg8bit.png	train/segmentation/jena/jena_000061_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/jena/jena_000059_000019_leftImg8bit.png	train/segmentation/jena/jena_000059_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/jena/jena_000041_000019_leftImg8bit.png	train/segmentation/jena/jena_000041_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/jena/jena_000049_000019_leftImg8bit.png	train/segmentation/jena/jena_000049_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/jena/jena_000047_000019_leftImg8bit.png	train/segmentation/jena/jena_000047_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/jena/jena_000034_000019_leftImg8bit.png	train/segmentation/jena/jena_000034_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/jena/jena_000028_000019_leftImg8bit.png	train/segmentation/jena/jena_000028_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/jena/jena_000015_000019_leftImg8bit.png	train/segmentation/jena/jena_000015_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/jena/jena_000054_000019_leftImg8bit.png	train/segmentation/jena/jena_000054_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/jena/jena_000016_000019_leftImg8bit.png	train/segmentation/jena/jena_000016_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/jena/jena_000076_000019_leftImg8bit.png	train/segmentation/jena/jena_000076_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/jena/jena_000035_000019_leftImg8bit.png	train/segmentation/jena/jena_000035_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/jena/jena_000007_000019_leftImg8bit.png	train/segmentation/jena/jena_000007_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/jena/jena_000048_000019_leftImg8bit.png	train/segmentation/jena/jena_000048_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/jena/jena_000092_000019_leftImg8bit.png	train/segmentation/jena/jena_000092_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/jena/jena_000055_000019_leftImg8bit.png	train/segmentation/jena/jena_000055_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/jena/jena_000066_000019_leftImg8bit.png	train/segmentation/jena/jena_000066_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/jena/jena_000077_000019_leftImg8bit.png	train/segmentation/jena/jena_000077_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/jena/jena_000101_000019_leftImg8bit.png	train/segmentation/jena/jena_000101_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/jena/jena_000027_000019_leftImg8bit.png	train/segmentation/jena/jena_000027_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/jena/jena_000082_000019_leftImg8bit.png	train/segmentation/jena/jena_000082_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/jena/jena_000070_000019_leftImg8bit.png	train/segmentation/jena/jena_000070_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/jena/jena_000118_000019_leftImg8bit.png	train/segmentation/jena/jena_000118_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/jena/jena_000020_000019_leftImg8bit.png	train/segmentation/jena/jena_000020_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/jena/jena_000081_000019_leftImg8bit.png	train/segmentation/jena/jena_000081_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/jena/jena_000071_000019_leftImg8bit.png	train/segmentation/jena/jena_000071_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/jena/jena_000002_000019_leftImg8bit.png	train/segmentation/jena/jena_000002_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/jena/jena_000072_000019_leftImg8bit.png	train/segmentation/jena/jena_000072_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/jena/jena_000038_000019_leftImg8bit.png	train/segmentation/jena/jena_000038_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	train/images/jena/jena_000094_000019_leftImg8bit.png	train/segmentation/jena/jena_000094_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
31	train/images/jena/jena_000001_000019_leftImg8bit.png	train/segmentation/jena/jena_000001_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
32	train/images/jena/jena_000096_000019_leftImg8bit.png	train/segmentation/jena/jena_000096_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
33	train/images/jena/jena_000006_000019_leftImg8bit.png	train/segmentation/jena/jena_000006_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
34	train/images/jena/jena_000032_000019_leftImg8bit.png	train/segmentation/jena/jena_000032_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
35	train/images/jena/jena_000098_000019_leftImg8bit.png	train/segmentation/jena/jena_000098_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
36	train/images/jena/jena_000106_000019_leftImg8bit.png	train/segmentation/jena/jena_000106_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
37	train/images/jena/jena_000009_000019_leftImg8bit.png	train/segmentation/jena/jena_000009_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
38	train/images/jena/jena_000051_000019_leftImg8bit.png	train/segmentation/jena/jena_000051_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
39	train/images/jena/jena_000039_000019_leftImg8bit.png	train/segmentation/jena/jena_000039_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
40	train/images/jena/jena_000018_000019_leftImg8bit.png	train/segmentation/jena/jena_000018_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
41	train/images/jena/jena_000100_000019_leftImg8bit.png	train/segmentation/jena/jena_000100_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
42	train/images/jena/jena_000105_000019_leftImg8bit.png	train/segmentation/jena/jena_000105_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
43	train/images/jena/jena_000090_000019_leftImg8bit.png	train/segmentation/jena/jena_000090_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
44	train/images/jena/jena_000046_000019_leftImg8bit.png	train/segmentation/jena/jena_000046_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
45	train/images/jena/jena_000044_000019_leftImg8bit.png	train/segmentation/jena/jena_000044_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
46	train/images/jena/jena_000080_000019_leftImg8bit.png	train/segmentation/jena/jena_000080_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
47	train/images/jena/jena_000089_000019_leftImg8bit.png	train/segmentation/jena/jena_000089_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
48	train/images/jena/jena_000110_000019_leftImg8bit.png	train/segmentation/jena/jena_000110_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
49	train/images/jena/jena_000084_000019_leftImg8bit.png	train/segmentation/jena/jena_000084_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
50	train/images/jena/jena_000067_000019_leftImg8bit.png	train/segmentation/jena/jena_000067_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
51	train/images/jena/jena_000073_000019_leftImg8bit.png	train/segmentation/jena/jena_000073_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
52	train/images/jena/jena_000057_000019_leftImg8bit.png	train/segmentation/jena/jena_000057_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
53	train/images/jena/jena_000000_000019_leftImg8bit.png	train/segmentation/jena/jena_000000_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
54	train/images/jena/jena_000074_000019_leftImg8bit.png	train/segmentation/jena/jena_000074_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
55	train/images/jena/jena_000065_000019_leftImg8bit.png	train/segmentation/jena/jena_000065_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
56	train/images/jena/jena_000085_000019_leftImg8bit.png	train/segmentation/jena/jena_000085_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
