id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/krefeld/krefeld_000000_017342_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_017342_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/krefeld/krefeld_000000_023698_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_023698_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/krefeld/krefeld_000000_004608_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_004608_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/krefeld/krefeld_000000_013139_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_013139_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/krefeld/krefeld_000000_027075_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_027075_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/krefeld/krefeld_000000_003707_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_003707_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/krefeld/krefeld_000000_026580_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_026580_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/krefeld/krefeld_000000_007325_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_007325_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/krefeld/krefeld_000000_010160_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_010160_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/krefeld/krefeld_000000_020873_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_020873_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/krefeld/krefeld_000000_008584_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_008584_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/krefeld/krefeld_000000_030221_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_030221_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/krefeld/krefeld_000000_018747_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_018747_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/krefeld/krefeld_000000_000108_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_000108_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/krefeld/krefeld_000000_015116_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_015116_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/krefeld/krefeld_000000_025434_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_025434_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/krefeld/krefeld_000000_017489_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_017489_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/krefeld/krefeld_000000_034686_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_034686_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/krefeld/krefeld_000000_001908_leftImg8bit.png	train/segmentation/krefeld/krefeld_000000_001908_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
