id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/monchengladbach/monchengladbach_000000_033683_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_033683_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/monchengladbach/monchengladbach_000000_028883_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_028883_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/monchengladbach/monchengladbach_000001_002353_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000001_002353_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/monchengladbach/monchengladbach_000000_034302_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_034302_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/monchengladbach/monchengladbach_000000_013352_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_013352_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/monchengladbach/monchengladbach_000000_015928_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_015928_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/monchengladbach/monchengladbach_000001_002229_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000001_002229_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/monchengladbach/monchengladbach_000000_018294_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_018294_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/monchengladbach/monchengladbach_000000_032540_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_032540_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/monchengladbach/monchengladbach_000000_007851_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_007851_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/monchengladbach/monchengladbach_000000_003442_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_003442_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/monchengladbach/monchengladbach_000000_033454_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_033454_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/monchengladbach/monchengladbach_000000_023489_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_023489_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/monchengladbach/monchengladbach_000000_022748_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_022748_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/monchengladbach/monchengladbach_000000_035650_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_035650_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/monchengladbach/monchengladbach_000000_000076_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_000076_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/monchengladbach/monchengladbach_000000_023856_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_023856_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/monchengladbach/monchengladbach_000000_028216_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_028216_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/monchengladbach/monchengladbach_000000_015685_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_015685_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/monchengladbach/monchengladbach_000000_021663_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_021663_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/monchengladbach/monchengladbach_000000_002972_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_002972_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/monchengladbach/monchengladbach_000000_031623_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_031623_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/monchengladbach/monchengladbach_000000_015126_leftImg8bit.png	train/segmentation/monchengladbach/monchengladbach_000000_015126_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
