id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/munster/munster_000032_000019_leftImg8bit.png	train/segmentation/munster/munster_000032_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/munster/munster_000151_000019_leftImg8bit.png	train/segmentation/munster/munster_000151_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/munster/munster_000160_000019_leftImg8bit.png	train/segmentation/munster/munster_000160_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/munster/munster_000125_000019_leftImg8bit.png	train/segmentation/munster/munster_000125_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/munster/munster_000100_000019_leftImg8bit.png	train/segmentation/munster/munster_000100_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/munster/munster_000084_000019_leftImg8bit.png	train/segmentation/munster/munster_000084_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/munster/munster_000108_000019_leftImg8bit.png	train/segmentation/munster/munster_000108_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/munster/munster_000069_000019_leftImg8bit.png	train/segmentation/munster/munster_000069_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/munster/munster_000027_000019_leftImg8bit.png	train/segmentation/munster/munster_000027_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/munster/munster_000056_000019_leftImg8bit.png	train/segmentation/munster/munster_000056_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/munster/munster_000047_000019_leftImg8bit.png	train/segmentation/munster/munster_000047_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/munster/munster_000050_000019_leftImg8bit.png	train/segmentation/munster/munster_000050_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/munster/munster_000085_000019_leftImg8bit.png	train/segmentation/munster/munster_000085_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/munster/munster_000055_000019_leftImg8bit.png	train/segmentation/munster/munster_000055_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/munster/munster_000156_000019_leftImg8bit.png	train/segmentation/munster/munster_000156_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/munster/munster_000004_000019_leftImg8bit.png	train/segmentation/munster/munster_000004_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/munster/munster_000103_000019_leftImg8bit.png	train/segmentation/munster/munster_000103_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/munster/munster_000080_000019_leftImg8bit.png	train/segmentation/munster/munster_000080_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/munster/munster_000054_000019_leftImg8bit.png	train/segmentation/munster/munster_000054_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/munster/munster_000031_000019_leftImg8bit.png	train/segmentation/munster/munster_000031_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/munster/munster_000079_000019_leftImg8bit.png	train/segmentation/munster/munster_000079_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/munster/munster_000058_000019_leftImg8bit.png	train/segmentation/munster/munster_000058_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/munster/munster_000021_000019_leftImg8bit.png	train/segmentation/munster/munster_000021_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/munster/munster_000142_000019_leftImg8bit.png	train/segmentation/munster/munster_000142_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/munster/munster_000166_000019_leftImg8bit.png	train/segmentation/munster/munster_000166_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/munster/munster_000114_000019_leftImg8bit.png	train/segmentation/munster/munster_000114_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/munster/munster_000064_000019_leftImg8bit.png	train/segmentation/munster/munster_000064_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/munster/munster_000141_000019_leftImg8bit.png	train/segmentation/munster/munster_000141_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/munster/munster_000083_000019_leftImg8bit.png	train/segmentation/munster/munster_000083_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/munster/munster_000014_000019_leftImg8bit.png	train/segmentation/munster/munster_000014_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
