id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	val/images/munster/munster_000032_000019_leftImg8bit.png	val/segmentation/munster/munster_000032_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	val/images/munster/munster_000151_000019_leftImg8bit.png	val/segmentation/munster/munster_000151_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	val/images/munster/munster_000160_000019_leftImg8bit.png	val/segmentation/munster/munster_000160_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	val/images/munster/munster_000125_000019_leftImg8bit.png	val/segmentation/munster/munster_000125_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	val/images/munster/munster_000100_000019_leftImg8bit.png	val/segmentation/munster/munster_000100_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	val/images/munster/munster_000084_000019_leftImg8bit.png	val/segmentation/munster/munster_000084_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	val/images/munster/munster_000108_000019_leftImg8bit.png	val/segmentation/munster/munster_000108_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	val/images/munster/munster_000069_000019_leftImg8bit.png	val/segmentation/munster/munster_000069_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	val/images/munster/munster_000027_000019_leftImg8bit.png	val/segmentation/munster/munster_000027_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	val/images/munster/munster_000056_000019_leftImg8bit.png	val/segmentation/munster/munster_000056_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	val/images/munster/munster_000047_000019_leftImg8bit.png	val/segmentation/munster/munster_000047_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	val/images/munster/munster_000050_000019_leftImg8bit.png	val/segmentation/munster/munster_000050_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	val/images/munster/munster_000085_000019_leftImg8bit.png	val/segmentation/munster/munster_000085_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	val/images/munster/munster_000055_000019_leftImg8bit.png	val/segmentation/munster/munster_000055_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	val/images/munster/munster_000156_000019_leftImg8bit.png	val/segmentation/munster/munster_000156_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
