id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/strasbourg/strasbourg_000001_051574_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_051574_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/strasbourg/strasbourg_000001_002949_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_002949_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/strasbourg/strasbourg_000000_013863_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_013863_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/strasbourg/strasbourg_000000_023854_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_023854_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/strasbourg/strasbourg_000000_025268_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_025268_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/strasbourg/strasbourg_000000_005912_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_005912_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/strasbourg/strasbourg_000000_019050_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_019050_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/strasbourg/strasbourg_000000_013223_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_013223_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/strasbourg/strasbourg_000001_028852_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_028852_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/strasbourg/strasbourg_000001_051448_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_051448_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/strasbourg/strasbourg_000001_051934_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_051934_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/strasbourg/strasbourg_000000_035008_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_035008_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/strasbourg/strasbourg_000001_062542_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_062542_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/strasbourg/strasbourg_000000_034652_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_034652_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/strasbourg/strasbourg_000000_034040_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_034040_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/strasbourg/strasbourg_000000_028556_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_028556_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/strasbourg/strasbourg_000001_049977_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_049977_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/strasbourg/strasbourg_000001_037645_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_037645_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/strasbourg/strasbourg_000001_037776_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_037776_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/strasbourg/strasbourg_000000_021231_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_021231_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/strasbourg/strasbourg_000000_017159_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_017159_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/strasbourg/strasbourg_000001_001449_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_001449_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/strasbourg/strasbourg_000000_006264_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_006264_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/strasbourg/strasbourg_000000_015764_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_015764_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/strasbourg/strasbourg_000000_029179_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_029179_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/strasbourg/strasbourg_000000_026882_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_026882_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/strasbourg/strasbourg_000000_033129_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_033129_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/strasbourg/strasbourg_000001_057811_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_057811_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/strasbourg/strasbourg_000001_002216_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_002216_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/strasbourg/strasbourg_000001_036232_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_036232_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	train/images/strasbourg/strasbourg_000001_048121_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_048121_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
31	train/images/strasbourg/strasbourg_000000_013654_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_013654_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
32	train/images/strasbourg/strasbourg_000000_030941_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_030941_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
33	train/images/strasbourg/strasbourg_000001_056330_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_056330_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
34	train/images/strasbourg/strasbourg_000000_017044_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_017044_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
35	train/images/strasbourg/strasbourg_000000_014416_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_014416_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
36	train/images/strasbourg/strasbourg_000001_034923_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_034923_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
37	train/images/strasbourg/strasbourg_000000_029729_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000000_029729_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
38	train/images/strasbourg/strasbourg_000001_006916_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_006916_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
39	train/images/strasbourg/strasbourg_000001_042309_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_042309_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
40	train/images/strasbourg/strasbourg_000001_052544_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_052544_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
41	train/images/strasbourg/strasbourg_000001_047336_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_047336_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
42	train/images/strasbourg/strasbourg_000001_030539_leftImg8bit.png	train/segmentation/strasbourg/strasbourg_000001_030539_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
