id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/stuttgart/stuttgart_000098_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000098_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/stuttgart/stuttgart_000057_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000057_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/stuttgart/stuttgart_000085_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000085_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/stuttgart/stuttgart_000016_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000016_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/stuttgart/stuttgart_000010_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000010_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/stuttgart/stuttgart_000076_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000076_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/stuttgart/stuttgart_000055_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000055_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/stuttgart/stuttgart_000029_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000029_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/stuttgart/stuttgart_000136_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000136_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/stuttgart/stuttgart_000159_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000159_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/stuttgart/stuttgart_000063_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000063_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/stuttgart/stuttgart_000021_000019_leftImg8bit.png	train/segmentation/stuttgart/stuttgart_000021_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
