id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/tubingen/tubingen_000009_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000009_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/tubingen/tubingen_000040_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000040_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/tubingen/tubingen_000097_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000097_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/tubingen/tubingen_000065_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000065_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/tubingen/tubingen_000102_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000102_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/tubingen/tubingen_000068_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000068_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/tubingen/tubingen_000128_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000128_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/tubingen/tubingen_000034_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000034_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/tubingen/tubingen_000092_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000092_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/tubingen/tubingen_000081_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000081_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/tubingen/tubingen_000029_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000029_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/tubingen/tubingen_000074_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000074_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/tubingen/tubingen_000044_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000044_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/tubingen/tubingen_000002_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000002_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/tubingen/tubingen_000063_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000063_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/tubingen/tubingen_000082_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000082_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/tubingen/tubingen_000101_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000101_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/tubingen/tubingen_000132_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000132_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/tubingen/tubingen_000004_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000004_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/tubingen/tubingen_000076_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000076_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/tubingen/tubingen_000105_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000105_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/tubingen/tubingen_000011_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000011_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/tubingen/tubingen_000084_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000084_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/tubingen/tubingen_000100_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000100_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/tubingen/tubingen_000133_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000133_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/tubingen/tubingen_000070_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000070_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/tubingen/tubingen_000106_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000106_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/tubingen/tubingen_000027_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000027_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/tubingen/tubingen_000032_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000032_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/tubingen/tubingen_000134_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000134_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	train/images/tubingen/tubingen_000126_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000126_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
31	train/images/tubingen/tubingen_000136_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000136_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
32	train/images/tubingen/tubingen_000103_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000103_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
33	train/images/tubingen/tubingen_000072_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000072_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
34	train/images/tubingen/tubingen_000099_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000099_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
35	train/images/tubingen/tubingen_000013_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000013_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
36	train/images/tubingen/tubingen_000017_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000017_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
37	train/images/tubingen/tubingen_000124_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000124_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
38	train/images/tubingen/tubingen_000083_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000083_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
39	train/images/tubingen/tubingen_000021_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000021_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
40	train/images/tubingen/tubingen_000080_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000080_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
41	train/images/tubingen/tubingen_000142_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000142_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
42	train/images/tubingen/tubingen_000115_000019_leftImg8bit.png	train/segmentation/tubingen/tubingen_000115_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
