id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/ulm/ulm_000076_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000076_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/ulm/ulm_000041_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000041_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/ulm/ulm_000072_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000072_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/ulm/ulm_000034_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000034_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/ulm/ulm_000035_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000035_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/ulm/ulm_000066_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000066_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/ulm/ulm_000062_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000062_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/ulm/ulm_000045_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000045_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/ulm/ulm_000052_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000052_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/ulm/ulm_000026_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000026_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/ulm/ulm_000023_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000023_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/ulm/ulm_000038_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000038_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/ulm/ulm_000089_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000089_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/ulm/ulm_000094_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000094_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/ulm/ulm_000020_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000020_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/ulm/ulm_000061_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000061_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/ulm/ulm_000021_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000021_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/ulm/ulm_000077_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000077_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/ulm/ulm_000047_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000047_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/ulm/ulm_000075_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000075_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/ulm/ulm_000093_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000093_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/ulm/ulm_000031_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000031_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/ulm/ulm_000024_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000024_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/ulm/ulm_000085_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000085_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/ulm/ulm_000068_000019_leftImg8bit.png	train/segmentation/ulm/ulm_000068_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
