id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/weimar/weimar_000110_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000110_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/weimar/weimar_000070_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000070_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/weimar/weimar_000042_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000042_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/weimar/weimar_000118_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000118_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/weimar/weimar_000096_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000096_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/weimar/weimar_000043_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000043_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/weimar/weimar_000084_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000084_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/weimar/weimar_000008_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000008_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/weimar/weimar_000054_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000054_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/weimar/weimar_000039_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000039_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/weimar/weimar_000128_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000128_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/weimar/weimar_000037_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000037_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/weimar/weimar_000058_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000058_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/weimar/weimar_000093_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000093_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/weimar/weimar_000135_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000135_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/weimar/weimar_000002_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000002_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/weimar/weimar_000114_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000114_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/weimar/weimar_000121_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000121_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
18	train/images/weimar/weimar_000012_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000012_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
19	train/images/weimar/weimar_000004_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000004_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
20	train/images/weimar/weimar_000073_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000073_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
21	train/images/weimar/weimar_000000_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000000_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
22	train/images/weimar/weimar_000090_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000090_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
23	train/images/weimar/weimar_000132_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000132_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
24	train/images/weimar/weimar_000017_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000017_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
25	train/images/weimar/weimar_000063_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000063_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
26	train/images/weimar/weimar_000097_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000097_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
27	train/images/weimar/weimar_000126_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000126_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
28	train/images/weimar/weimar_000131_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000131_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
29	train/images/weimar/weimar_000014_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000014_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
30	train/images/weimar/weimar_000032_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000032_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
31	train/images/weimar/weimar_000027_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000027_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
32	train/images/weimar/weimar_000092_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000092_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
33	train/images/weimar/weimar_000103_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000103_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
34	train/images/weimar/weimar_000134_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000134_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
35	train/images/weimar/weimar_000140_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000140_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
36	train/images/weimar/weimar_000003_000019_leftImg8bit.png	train/segmentation/weimar/weimar_000003_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
