id	camera_l	semantic	qw	qx	qy	qz	tx	ty	tz
0	train/images/zurich/zurich_000113_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000113_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
1	train/images/zurich/zurich_000112_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000112_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
2	train/images/zurich/zurich_000070_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000070_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
3	train/images/zurich/zurich_000086_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000086_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
4	train/images/zurich/zurich_000039_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000039_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
5	train/images/zurich/zurich_000091_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000091_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
6	train/images/zurich/zurich_000064_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000064_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
7	train/images/zurich/zurich_000016_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000016_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
8	train/images/zurich/zurich_000072_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000072_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
9	train/images/zurich/zurich_000067_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000067_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
10	train/images/zurich/zurich_000063_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000063_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
11	train/images/zurich/zurich_000032_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000032_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
12	train/images/zurich/zurich_000076_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000076_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
13	train/images/zurich/zurich_000116_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000116_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
14	train/images/zurich/zurich_000013_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000013_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
15	train/images/zurich/zurich_000050_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000050_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
16	train/images/zurich/zurich_000035_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000035_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
17	train/images/zurich/zurich_000115_000019_leftImg8bit.png	train/segmentation/zurich/zurich_000115_000019_gtFine_labelIds.png	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000	5.000000
