id	camera_l	qw	qx	qy	qz	tx	ty	tz
0	traj_0000/img/image_1_838.png	1.000000	-0.000139	-0.000276	-0.000233	-0.000850	0.000324	-0.001400
3	traj_0000/img/image_1_841.png	1.000000	0.000028	-0.000392	-0.000085	-0.000784	0.000013	-0.001032
6	traj_0000/img/image_1_844.png	1.000000	-0.000083	0.000108	-0.000114	-0.000480	-0.000007	-0.000462
9	traj_0000/img/image_1_847.png	1.000000	0.000008	0.000086	-0.000156	0.000065	0.000233	0.000346
12	traj_0000/img/image_1_850.png	1.000000	-0.000099	0.000296	-0.000146	0.000086	0.000114	0.000547
15	traj_0000/img/image_1_853.png	1.000000	-0.000019	0.000077	-0.000035	-0.000178	0.000061	0.000415
18	traj_0000/img/image_1_856.png	1.000000	0.000202	0.000642	-0.000592	-0.001071	0.000303	-0.000765
21	traj_0000/img/image_1_859.png	1.000000	0.000138	0.000472	-0.000471	-0.000335	-0.000004	-0.000561
24	traj_0000/img/image_1_862.png	1.000000	0.000091	0.000333	-0.000421	0.000126	0.000194	0.000383
27	traj_0000/img/image_1_865.png	1.000000	-0.000259	0.000853	-0.000380	0.000598	0.000439	0.001328
30	traj_0000/img/image_1_868.png	0.999999	-0.000045	-0.000905	-0.001179	0.000983	0.001763	0.001018
33	traj_0000/img/image_1_871.png	0.999986	0.000020	-0.000466	-0.005192	0.000524	0.003272	0.000806
36	traj_0000/img/image_1_874.png	0.999966	-0.000117	-0.000477	-0.008268	0.001307	0.005188	-0.000344
39	traj_0000/img/image_1_877.png	0.999937	-0.000740	-0.000269	-0.011220	0.002433	0.009254	-0.000627
42	traj_0000/img/image_1_880.png	0.999914	-0.000251	-0.000242	-0.013134	0.004975	0.013755	0.000843
45	traj_0000/img/image_1_883.png	0.999914	-0.000862	0.000633	-0.013093	0.007884	0.020678	0.002484
48	traj_0000/img/image_1_886.png	0.999923	-0.003523	-0.001690	-0.011780	0.011249	0.028464	0.003582
51	traj_0000/img/image_1_889.png	0.999886	-0.011650	0.003424	-0.008950	0.015045	0.038432	0.004489
54	traj_0000/img/image_1_892.png	0.999913	0.012531	0.003619	-0.002101	0.019576	0.055401	0.008625
57	traj_0000/img/image_1_895.png	0.999857	0.015136	-0.002339	0.007191	0.026229	0.069169	0.021437
60	traj_0000/img/image_1_898.png	0.999853	0.007114	-0.002234	0.015448	0.032858	0.077906	0.038566
63	traj_0000/img/image_1_901.png	0.998533	0.037499	-0.011522	0.037313	0.059566	0.145072	0.118806
66	traj_0000/img/image_1_904.png	0.999678	-0.004638	-0.012232	0.021737	0.070008	0.131538	0.154622
69	traj_0000/img/image_1_907.png	0.999997	0.001176	-0.000135	0.002109	0.038160	0.074281	0.086239
72	traj_0000/img/image_1_910.png	0.999997	-0.000446	0.002155	-0.001286	0.032302	0.072495	0.073725
75	traj_0000/img/image_1_913.png	0.999981	0.002269	0.005602	-0.001331	0.029767	0.074817	0.061832
78	traj_0000/img/image_1_916.png	0.999990	-0.000179	0.002897	0.003449	0.028128	0.075837	0.049053
81	traj_0000/img/image_1_919.png	0.999938	-0.000065	0.005093	0.009916	0.027145	0.076710	0.045213
84	traj_0000/img/image_1_922.png	0.999902	-0.002276	0.000485	0.013815	0.027135	0.075151	0.043036
87	traj_0000/img/image_1_925.png	0.999845	-0.002107	-0.000906	0.017436	0.029860	0.076003	0.046141
90	traj_0000/img/image_1_928.png	0.999841	-0.000193	-0.001574	0.017776	0.032756	0.075979	0.043000
