id	camera_l	depth	qw	qx	qy	qz	tx	ty	tz
0	Seq001/img/000001.png	Seq001/depth/000001.npy	0.999148	0.001239	0.001500	-0.041216	0.622512	-4.537775	0.065942
1	Seq001/img/000002.png	Seq001/depth/000002.npy	0.999996	-0.002180	0.001365	-0.000894	0.413385	-4.366825	-0.037753
2	Seq001/img/000003.png	Seq001/depth/000003.npy	0.999999	-0.000855	0.000671	-0.000530	0.368290	-4.497798	0.063300
3	Seq001/img/000004.png	Seq001/depth/000004.npy	0.999999	-0.000592	0.000403	-0.000840	0.487020	-4.234248	-0.007337
4	Seq001/img/000005.png	Seq001/depth/000005.npy	0.999999	-0.000851	0.000037	-0.000641	0.442768	-4.299172	-0.009387
5	Seq001/img/000006.png	Seq001/depth/000006.npy	1.000000	-0.000412	-0.000014	-0.000518	0.452188	-4.406353	-0.045658
6	Seq001/img/000007.png	Seq001/depth/000007.npy	1.000000	0.000026	-0.000032	-0.000197	0.504741	-4.309104	-0.028008
7	Seq001/img/000008.png	Seq001/depth/000008.npy	0.999999	-0.000750	0.000671	-0.000142	0.503398	-4.476109	-0.004384
8	Seq001/img/000009.png	Seq001/depth/000009.npy	1.000000	-0.000136	-0.000147	-0.000615	0.459965	-4.266021	-0.000727
9	Seq001/img/000010.png	Seq001/depth/000010.npy	1.000000	-0.000277	0.000081	-0.000729	0.475901	-4.496118	-0.053464
10	Seq001/img/000011.png	Seq001/depth/000011.npy	0.999999	0.000255	0.000095	-0.001061	0.543184	-4.334801	-0.021781
11	Seq001/img/000012.png	Seq001/depth/000012.npy	1.000000	-0.000181	-0.000174	-0.000754	0.453255	-4.376312	-0.042075
12	Seq001/img/000013.png	Seq001/depth/000013.npy	1.000000	0.000369	-0.000247	-0.000327	0.560827	-4.331011	-0.000024
13	Seq001/img/000014.png	Seq001/depth/000014.npy	1.000000	-0.000170	-0.000286	0.000239	0.522195	-4.512915	-0.022636
14	Seq001/img/000015.png	Seq001/depth/000015.npy	0.999999	-0.000739	-0.000532	0.000477	0.434294	-4.312753	-0.075861
15	Seq001/img/000016.png	Seq001/depth/000016.npy	1.000000	-0.000351	0.000459	0.000430	0.557797	-4.392090	-0.019193
16	Seq001/img/000017.png	Seq001/depth/000017.npy	1.000000	-0.000287	0.000434	0.000177	0.493281	-4.388296	-0.051265
17	Seq001/img/000018.png	Seq001/depth/000018.npy	1.000000	0.000045	0.000210	-0.000148	0.529518	-4.313685	-0.090927
18	Seq001/img/000019.png	Seq001/depth/000019.npy	0.918755	0.017987	0.001620	-0.394415	-1.661197	-0.251938	-0.053985
19	Seq001/img/000020.png	Seq001/depth/000020.npy	0.955735	0.007449	-0.001151	-0.294132	-2.638239	-2.940576	0.018779
20	Seq001/img/000021.png	Seq001/depth/000021.npy	0.998944	0.002007	0.000152	-0.045898	0.029767	-4.328084	-0.000730
21	Seq001/img/000022.png	Seq001/depth/000022.npy	0.924947	0.006309	0.004583	-0.380017	-1.359676	-0.571794	-0.020472
22	Seq001/img/000023.png	Seq001/depth/000023.npy	0.937136	0.002496	0.001529	-0.348952	-2.964154	-2.706227	-0.111831
23	Seq001/img/000024.png	Seq001/depth/000024.npy	0.999053	-0.000217	0.001530	-0.043472	-0.149361	-4.274722	-0.140014
24	Seq001/img/000025.png	Seq001/depth/000025.npy	0.999927	-0.000677	0.000575	-0.012065	0.225473	-4.280325	-0.093819
25	Seq001/img/000026.png	Seq001/depth/000026.npy	0.999974	-0.000596	-0.000196	-0.007155	0.344690	-4.500683	-0.122333
26	Seq001/img/000027.png	Seq001/depth/000027.npy	0.999993	-0.000501	-0.000617	-0.003524	0.443872	-4.287005	-0.117602
27	Seq001/img/000028.png	Seq001/depth/000028.npy	0.999996	-0.000438	-0.000778	-0.002644	0.414756	-4.389160	-0.140122
28	Seq001/img/000029.png	Seq001/depth/000029.npy	0.999999	0.000144	-0.000703	-0.001190	0.502703	-4.449352	-0.150566
29	Seq001/img/000030.png	Seq001/depth/000030.npy	0.999999	-0.000169	-0.000471	-0.001084	0.466135	-4.314509	-0.134923
30	Seq001/img/000031.png	Seq001/depth/000031.npy	1.000000	-0.000195	-0.000019	-0.000854	0.525873	-4.337337	-0.123966
31	Seq001/img/000032.png	Seq001/depth/000032.npy	0.999999	-0.000444	0.000743	-0.001006	0.414612	-4.467492	-0.131321
32	Seq001/img/000033.png	Seq001/depth/000033.npy	1.000000	0.000019	0.000182	-0.000778	0.526848	-4.373084	-0.105903
33	Seq001/img/000034.png	Seq001/depth/000034.npy	0.999999	-0.000680	-0.000045	-0.000841	0.452157	-4.343970	-0.132657
34	Seq001/img/000035.png	Seq001/depth/000035.npy	1.000000	0.000270	-0.000079	-0.000557	0.507372	-4.421891	-0.182226
35	Seq001/img/000036.png	Seq001/depth/000036.npy	1.000000	0.000072	-0.000210	-0.000294	0.538933	-4.297443	-0.156499
36	Seq001/img/000037.png	Seq001/depth/000037.npy	1.000000	0.000125	-0.000050	-0.000687	0.510453	-4.283790	-0.104134
37	Seq001/img/000038.png	Seq001/depth/000038.npy	1.000000	0.000791	-0.000359	-0.000122	0.548101	-4.351602	-0.089572
38	Seq001/img/000039.png	Seq001/depth/000039.npy	1.000000	0.000428	-0.000037	-0.000510	0.484821	-4.461973	-0.155367
39	Seq001/img/000040.png	Seq001/depth/000040.npy	1.000000	0.000806	-0.000208	-0.000442	0.489813	-4.391090	-0.199096
40	Seq001/img/000041.png	Seq001/depth/000041.npy	0.790593	0.000974	-0.024431	0.611853	5.536694	0.296726	0.092728
41	Seq001/img/000042.png	Seq001/depth/000042.npy	0.999211	0.000234	-0.000785	0.039696	1.247452	-4.376938	0.043939
42	Seq001/img/000043.png	Seq001/depth/000043.npy	0.870132	-0.002922	-0.015579	0.492564	2.002367	-0.063387	-0.042169
43	Seq001/img/000044.png	Seq001/depth/000044.npy	0.968181	0.005373	-0.002226	0.250183	2.822599	-2.373093	-0.037700
44	Seq001/img/000045.png	Seq001/depth/000045.npy	0.998965	-0.000320	-0.001093	0.045474	1.323593	-4.043976	-0.092852
45	Seq001/img/000046.png	Seq001/depth/000046.npy	0.999867	0.000322	-0.000449	0.016324	0.930248	-4.243954	-0.104952
46	Seq001/img/000047.png	Seq001/depth/000047.npy	0.999959	0.000724	-0.000457	0.009027	0.848548	-4.290367	-0.167525
47	Seq001/img/000048.png	Seq001/depth/000048.npy	0.999978	0.001001	-0.000627	0.006526	0.830215	-4.388420	-0.110211
48	Seq001/img/000049.png	Seq001/depth/000049.npy	0.999988	0.000774	-0.000546	0.004799	0.741932	-4.369365	-0.096715
49	Seq001/img/000050.png	Seq001/depth/000050.npy	0.999994	0.000421	0.000261	0.003416	0.814498	-4.257248	-0.087838
50	Seq001/img/000051.png	Seq001/depth/000051.npy	0.999994	0.000481	0.000176	0.003388	0.729704	-4.356027	-0.077247
51	Seq001/img/000052.png	Seq001/depth/000052.npy	0.999996	0.000266	-0.000199	0.002625	0.656511	-4.221364	-0.054751
52	Seq001/img/000053.png	Seq001/depth/000053.npy	0.999998	0.000201	-0.000340	0.001834	0.552916	-4.389503	-0.084244
53	Seq001/img/000054.png	Seq001/depth/000054.npy	0.999999	-0.000257	-0.000372	0.001308	0.605174	-4.367590	-0.091367
54	Seq001/img/000055.png	Seq001/depth/000055.npy	0.999999	-0.000302	-0.000064	0.001477	0.626001	-4.484765	-0.096477
55	Seq001/img/000056.png	Seq001/depth/000056.npy	0.999999	0.000081	0.000158	0.001246	0.594130	-4.206284	-0.072396
56	Seq001/img/000057.png	Seq001/depth/000057.npy	0.999999	-0.000184	-0.000069	0.001183	0.544091	-4.304409	-0.097272
57	Seq001/img/000058.png	Seq001/depth/000058.npy	1.000000	-0.000002	-0.000166	0.000846	0.599796	-4.473195	-0.094877
58	Seq001/img/000059.png	Seq001/depth/000059.npy	1.000000	0.000297	-0.000125	0.000430	0.597196	-4.396434	-0.062340
59	Seq001/img/000060.png	Seq001/depth/000060.npy	1.000000	0.000560	-0.000138	0.000347	0.572413	-4.336147	-0.083502
60	Seq001/img/000061.png	Seq001/depth/000061.npy	1.000000	0.000362	-0.000170	-0.000482	0.575707	-4.322664	-0.068908
61	Seq001/img/000062.png	Seq001/depth/000062.npy	0.977299	0.003845	0.007690	-0.211689	-0.429361	-1.454129	0.015734
62	Seq001/img/000063.png	Seq001/depth/000063.npy	0.888631	0.009664	0.008564	-0.458440	-4.465585	-1.807693	-0.060354
63	Seq001/img/000064.png	Seq001/depth/000064.npy	0.998764	0.002028	0.000762	-0.049656	-0.188027	-4.330558	-0.011093
64	Seq001/img/000065.png	Seq001/depth/000065.npy	0.929588	0.001208	0.004786	-0.368567	-0.990239	-0.878151	-0.031584
65	Seq001/img/000066.png	Seq001/depth/000066.npy	0.931424	0.002574	0.004320	-0.363902	-3.374878	-2.732667	-0.146828
66	Seq001/img/000067.png	Seq001/depth/000067.npy	0.999123	-0.000526	0.000909	-0.041862	-0.061938	-4.239668	-0.118435
67	Seq001/img/000068.png	Seq001/depth/000068.npy	0.999916	-0.000733	-0.000137	-0.012952	0.203530	-4.457758	-0.116506
68	Seq001/img/000069.png	Seq001/depth/000069.npy	0.999986	-0.000420	-0.000317	-0.005349	0.350871	-4.416151	-0.138066
69	Seq001/img/000070.png	Seq001/depth/000070.npy	0.999996	-0.000022	-0.000251	-0.002925	0.413230	-4.258393	-0.151819
70	Seq001/img/000071.png	Seq001/depth/000071.npy	0.999998	0.000217	-0.000641	-0.001832	0.345608	-4.262469	-0.086443
71	Seq001/img/000072.png	Seq001/depth/000072.npy	0.999998	0.000196	-0.000423	-0.001720	0.492539	-4.494579	-0.130519
72	Seq001/img/000073.png	Seq001/depth/000073.npy	1.000000	-0.000224	-0.000071	-0.000861	0.426067	-4.370769	-0.133359
73	Seq001/img/000074.png	Seq001/depth/000074.npy	0.999999	0.000192	-0.000522	-0.000897	0.451236	-4.270280	-0.106860
74	Seq001/img/000075.png	Seq001/depth/000075.npy	1.000000	-0.000350	-0.000040	-0.000790	0.498796	-4.338043	-0.145128
